id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1461321003968057346,"https://twitter.com/indrzhr/statuses/1461321003968057346","https://twitter.com/indrzhr/statuses/1461321003968057346","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.419","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.419","2021-11-18 08:10:52","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
2,1461320921898045444,"https://twitter.com/najihahjiji/statuses/1461320921898045444","https://twitter.com/najihahjiji/statuses/1461320921898045444","najihahjiji","RT @sszahrr: 2. Eleano Kimono   Eleano Kimono ni masa first released MEMANG TAK CUKUP. So bila dah restock balik ni ramai grab sebab 1st re…","2. Eleano Kimono   Eleano Kimono ni masa first released MEMANG TAK CUKUP. So bila dah restock balik ni ramai grab sebab 1st released tu ramai siap booked dulu sebab tu dalam sehari dua dah sold out🤣btw Eleano Kimono ni ada 3 colour. Size from S to XXL  P/s: more to standard size https://t.co/fyHCFX3uGp","2021-11-18 08:10:32","Twitter for Android",0,46,"in","","retweet","",0,0,"sszahrr",1343222628996149253,1456578958347030534,1383076917234999298,"https://pbs.twimg.com/profile_images/1453649542696423426/Tq7kFAXA_normal.jpg",14357,389,414,"2021-04-16 11:17:07","backup account for @najjihahshop 🤍","","",
3,1461320921210310658,"https://twitter.com/indrzhr/statuses/1461320921210310658","https://twitter.com/indrzhr/statuses/1461320921210310658","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.418","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.418","2021-11-18 08:10:32","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
4,1461320913819820037,"https://twitter.com/nisyaly/statuses/1461320913819820037","https://twitter.com/nisyaly/statuses/1461320913819820037","nisyaly","RT @munchieluna: Korang taktahu nak beli makanan apa untuk kudap kudap? Why not korang grab ✨Popcorn caramel homemade✨ ni  Dahh lah murah s…","Korang taktahu nak beli makanan apa untuk kudap kudap? Why not korang grab ✨Popcorn caramel homemade✨ ni  Dahh lah murah small pack Rm20 je😍😍 tapi percaya lah yang small pack tu confirm tak cukup🤣 https://t.co/uItSXa1ITy","2021-11-18 08:10:30","Twitter for iPhone",0,35,"in","","retweet","",0,0,"munchieluna",1231568537946210304,1461300376771072002,1251086990516187137,"https://pbs.twimg.com/profile_images/1367850495184752648/Er0FAhSG_normal.jpg",48163,953,2434,"2020-04-17 05:56:10","Backup acc: @nisyakilla","Sibu, Sarawak","",
5,1461320887274070017,"https://twitter.com/amilaaxx/statuses/1461320887274070017","https://twitter.com/amilaaxx/statuses/1461320887274070017","amilaaxx","RT @FyraAfira: Pstttt heeladina ada clearance sales for certain item ‼️‼️   If korang suka heeladina &amp; takde collection ni lagi, korang waj…","Pstttt heeladina ada clearance sales for certain item ‼️‼️   If korang suka heeladina &amp; takde collection ni lagi, korang wajib grab cause takde restock lepasni 🥺 https://t.co/PF8H9MQTjv","2021-11-18 08:10:24","Twitter for Android",0,98,"in","","retweet","",0,0,"FyraAfira",938976134,1460817464460079108,1276494211869577216,"https://pbs.twimg.com/profile_images/1411310569475305472/9qhpOWGU_normal.jpg",15680,310,180,"2020-06-26 08:35:26","scroll through twitter while eating cucur udang and sipping teh o ais","","",
6,1461320855741366276,"https://twitter.com/nisyaly/statuses/1461320855741366276","https://twitter.com/nisyaly/statuses/1461320855741366276","nisyaly","RT @arelyevea: Lepastu customer ni minta tyra tulis jeeee apa apa ayat utk cheer her mood 🥺🥺 Semoga customer tyra ni dimewahkan rezeki &amp; ha…","Lepastu customer ni minta tyra tulis jeeee apa apa ayat utk cheer her mood 🥺🥺 Semoga customer tyra ni dimewahkan rezeki &amp; happy selalu. Aamiin✨  Btw, she\'s grab Initial Ring tau! RM30 ONLY, can make urself or ur loved ones happy ❤❤🥰 https://t.co/bQ4SgGW8Ry","2021-11-18 08:10:16","Twitter for iPhone",0,123,"in","","retweet","",0,0,"arelyevea",1557467034,1425275996324827138,1251086990516187137,"https://pbs.twimg.com/profile_images/1367850495184752648/Er0FAhSG_normal.jpg",48163,953,2434,"2020-04-17 05:56:10","Backup acc: @nisyakilla","Sibu, Sarawak","",
7,1461320846060838914,"https://twitter.com/indrzhr/statuses/1461320846060838914","https://twitter.com/indrzhr/statuses/1461320846060838914","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.417","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.417","2021-11-18 08:10:14","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
8,1461320815656374281,"https://twitter.com/jllmisai/statuses/1461320815656374281","https://twitter.com/jllmisai/statuses/1461320815656374281","jllmisai","RT @M_Hafizzuddin_: ""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush du…","""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush dush dush macam ni?  Senyum je, jangan cari pasal. Kalau boleh, hormati kawan2 kita dengan apa2 kerja pun. Janji Halal  Pendapat 5sen 👇🏻👇🏻 https://t.co/52F7QOIEfc","2021-11-18 08:10:07","Twitter for Android",0,3,"in","","retweet","",0,0,"M_Hafizzuddin_",946665660,1461320280886808579,1457740102801657860,"https://pbs.twimg.com/profile_images/1457741342822449155/nc66Vmc4_normal.jpg",1201,775,7774,"2021-11-08 11:01:59","Ulangciap berbayar, boleh mesej. Akaun menyakat saja.","Instagram @jalalmisai","",
9,1461320778947837954,"https://twitter.com/indrzhr/statuses/1461320778947837954","https://twitter.com/indrzhr/statuses/1461320778947837954","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.416","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.416","2021-11-18 08:09:58","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
10,1461320727638908933,"https://twitter.com/JKR_Ketengah_/statuses/1461320727638908933","https://twitter.com/JKR_Ketengah_/statuses/1461320727638908933","JKR_Ketengah_","RT @M_Hafizzuddin_: ""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush du…","""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush dush dush macam ni?  Senyum je, jangan cari pasal. Kalau boleh, hormati kawan2 kita dengan apa2 kerja pun. Janji Halal  Pendapat 5sen 👇🏻👇🏻 https://t.co/52F7QOIEfc","2021-11-18 08:09:46","Twitter for iPhone",0,3,"in","","retweet","",0,0,"M_Hafizzuddin_",946665660,1461320280886808579,1278157223349252096,"https://pbs.twimg.com/profile_images/1280540615139135494/abpmkB4j_normal.jpg",1614,166,250,"2020-06-30 22:45:32","JKR Ketengah ditubuhkan semula pada 1 Desember 2018 untuk melaksanakan projek-projek dari wilayah Lembaga Kemajuan Terengganu Tengah (KETENGAH).","Al Muktafi Billah Shah","",
